Id,Title,Tags,Body,reason
"65500363","In Java how to display function parameters when the function is called at much higher level?","<java>","<p>For practicing algorithm questions, I set up my Java code like:
ProblemClass.java</p>
<pre><code>public static void main(String[] args) {
        Solution solution = new ProblemClass().new Solution();
        Utils.isEqual(solution.function(&quot;abc&quot;), &quot;def&quot;);
}
public class {
    public Solution {
        public String function(String s) {}
    }
}
</code></pre>
<p>The Utils.isEqual is basically wrapping a comparison like:</p>
<pre><code>    public static void isEqual(Object actual, Object expected) {
        if (actual == null &amp;&amp; expected == null || actual.equals(expected)) {
            System.out.println(&quot;Pass.&quot;);
        } else {
            System.out.println(&quot;Fail. Expecting: [&quot; + expected + &quot;] Actual result: [&quot; + actual + &quot;]&quot;);
        }
    }
</code></pre>
<p>When I run hundred of test cases, all I see on the command prompt is:</p>
<pre><code>Pass.
Pass.
Pass.
Pass.
...
Fail. Expecting: [false] Actual result: [true]
...
</code></pre>
<p>I don't know what test case has failed. I want to have some indication of <em>what</em> test has failed. I am open to other suggestions. So far, I thought maybe there is a way to display the parameters passed into <code>function</code> when calling <code>isEqual</code> through something like Reflection. I could not find a clear answer on that.</p>
<p>Lastly, I want to keep everything in the main() so all my tests and code is in one place as opposed to have a unit test class that I have to manage.</p>
","101"
"65500534","How to get inheritance working with an Array of objects?","<c++>","<p>for education I have to write a programme involving different objects and inheritance. The project is about different Locks with Transponders to open them. Let me explain with a simplification of my programm:</p>
<pre><code>class Lock
{
public : 
    Lock(int ID, int Transponder1, int Transponder2);
    void OpenLock(int Transponder);
protected:
    int _ID = 0, _Transponder = 0;
};
class SafetyLock : public Lock
{
public:
    SafetyLock(int ID, int Transponder1, int Transponder2);
    void OpenLock(int Transponder1, int Transponder2);
protected:
};
</code></pre>
<p>There are Normal Locks and safetylocks. The Safetylocks are inherited from the normal Locks. Normal Locks need only one Transponder to open, thus <code>OpenLock</code>has only 1 parameter. The SafetyLock needs two Transponders to open, its <code>OpenLock</code>has two Parameters.</p>
<pre><code>class Managment
{
public:
    void StartSimulation();
protected:
    Lock allLocks[2] =
    {
        Lock(1,10,20),     //&quot;A normal Lock can be opened by either Transponder 10 or 20&quot;
        SafetyLock(4,40,10)//&quot;A safety Lock with needs BOTH 40 and 10 to open&quot;
    };
};
</code></pre>
<p>Managment handles everything, this is why I listed all Locks there are(in my simplification only 2)
in a List of type Lock.</p>
<pre><code>void Managment::StartSimulation()
{
    allLocks[0].OpenLock(10);                                                                     
    allLocks[1].OpenLock(40, 10); //Here the problem occurs since OpenLock only has one parameter in
                                  //Lock  
}
</code></pre>
<p>When I know try to open both Locks with their respective transponders all goes well for the Normal one but for the Second one, it tells me that I have too many arguments even though I declared a different <code>OpenLock</code> for the type SafetyLock.</p>
<p>I can only guess that my problem is that I have an Array of type Lock but I tried to google my problem and don't know how to proceed now. Send help.</p>
<p>Whole Test Code I wrote:</p>
<pre><code>#include &lt;iostream&gt;
using std::cout;
using std::cin;
class Lock
{
public : 
    Lock(int ID, int Transponder1, int Transponder2);
    virtual void OpenLock(int Transponder);
protected:
    int _ID = 0, _Transponder = 0;

};
    
class SafetyLock : public Lock
{
public:
    SafetyLock(int ID, int Transponder1, int Transponder2);
    virtual void OpenLock(int Transponder1, int Transponder2);

protected:



};

class Managment
{
public:
    void StartSimulation();
protected:
      Lock allLocks[2] =
    {
        Lock(1,10,20),     //&quot;A normal Lock can be opened by either Transponder 10 or 20&quot;
        SafetyLock(4,40,10)//&quot;A safety Lock with needs BOTH 40 and 10 to open&quot;
    };
};
void Lock::OpenLock(int Transponder)
{
    if (Transponder == 10 || Transponder == 20)
    {
        cout &lt;&lt; &quot;succes!&quot;;
    }
    
}
void SafetyLock::OpenLock(int Transponder1, int Transponder2)
{
    if (Transponder1 == 40 &amp;&amp; Transponder2 == 10)
    {
        cout &lt;&lt; &quot;succes!&quot;;
    }
}
void Managment::StartSimulation()
{
    allLocks[0].OpenLock(10);
    allLocks[1].OpenLock(40, 10); //Here the problem occurs since OpenLock only has one parameter in                               
                                  //Lock
}  

int main()
{
    Managment A;
    A.StartSimulation();
}
</code></pre>
","101"
"65500590","Set the CUDA blocksize when using Thrust?","<cuda><thrust>","<p>Is it possible to set the size of the CUDA block from the underlying kernel launch of Thrust function templates such as <code>thrust::transform</code> or <code>thrust::sort</code>?</p>
","101"
"65500606","Is there a way to filter a row in R based on a categorical column and a date column","<r><dplyr><tidyr><plyr>","<p>I have a data set in R that looks something link this:</p>
<div class=""s-table-container"">
<table class=""s-table"">
<thead>
<tr>
<th>ClientID</th>
<th>Category</th>
<th>Date</th>
</tr>
</thead>
<tbody>
<tr>
<td>Person1</td>
<td>CategoryA</td>
<td>2020-09-01</td>
</tr>
<tr>
<td>Person1</td>
<td>CategoryA</td>
<td>2020-09-30</td>
</tr>
<tr>
<td>Person2</td>
<td>CategoryA</td>
<td>2020-07-25</td>
</tr>
<tr>
<td>Person2</td>
<td>CategoryA</td>
<td>2020-08-31</td>
</tr>
<tr>
<td>Person1</td>
<td>CategoryB</td>
<td>2020-03-15</td>
</tr>
<tr>
<td>Person1</td>
<td>CategoryB</td>
<td>2020-09-14</td>
</tr>
<tr>
<td>Person2</td>
<td>CategoryB</td>
<td>2020-06-17</td>
</tr>
<tr>
<td>Person2</td>
<td>CategoryB</td>
<td>2020-10-10</td>
</tr>
</tbody>
</table>
</div>
<p>What I would like to do is filter it to only return the row of the most recent date in each category for every client, so it would look like this:</p>
<div class=""s-table-container"">
<table class=""s-table"">
<thead>
<tr>
<th>ClientID</th>
<th>Category</th>
<th>Date</th>
</tr>
</thead>
<tbody>
<tr>
<td>Person1</td>
<td>CategoryA</td>
<td>2020-09-30</td>
</tr>
<tr>
<td>Person1</td>
<td>CategoryB</td>
<td>2020-09-14</td>
</tr>
<tr>
<td>Person2</td>
<td>CategoryA</td>
<td>2020-08-31</td>
</tr>
<tr>
<td>Person2</td>
<td>CategoryB</td>
<td>2020-10-10</td>
</tr>
</tbody>
</table>
</div>
<p>I have tried</p>
<pre><code>library(plyr)

dataSet %&gt;% filter(Category == &quot;CategoryA&quot;,Date == max(Date))

</code></pre>
<p>I knew this wouldn't work the moment I typed it, but I am lost on where to go. I have considered subsetting the data on the different categories (there are only 4), but then I am still lost with filtering by max date per client (because at least then, I could <code>rbind()</code> the results of each subset into a final data table). But alas, I am stuck.</p>
<p>Thanks in advance for the help.</p>
","101"
"65500689","How to add hide button next to delete button in django admin","<django><django-admin>","<p>How can I add a custom action button(Hide) to the position where Delete button originally at (Blue circle).
<a href=""https://i.stack.imgur.com/01O8s.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/01O8s.png"" alt=""enter image description here"" /></a></p>
","101"
"65500711","calculating percent in javascript","<javascript><calculation>","<p>I am trying to add the multiplication result, but the result I want doesn't match, can you help me to see where the error is in my javascript code?</p>
<p>The results I want:
((x*10)/100)+x = ...
or ((30.000 * 10) / 100)+30.000 = 33000</p>
<p>but why the results i got = 300030000</p>
<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>var x = document.getElementById(""x"");
var y = document.getElementById(""y"");
var d = document.getElementById(""d"");
var xstored = x.getAttribute(""data-in"");
var ystored = y.getAttribute(""data-in"");
setInterval(function(){
    if( x == document.activeElement ){
     var temp = x.value;
     if( xstored != temp ){
       xstored = temp;
       x.setAttribute(""data-in"",temp);
       calculate();
     }
    }
    if( y == document.activeElement ){
     var temp = y.value;
     if( ystored != temp ){
       ystored = temp;
       y.setAttribute(""data-in"",temp);
       calculate();
     }
    }
},50);

function calculate(){
 d.innerHTML = ((x.value * y.value) / 100) + x.value ;
}
x.onblur = calculate;
calculate();</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;div class=""section""&gt;
    &lt;div class=""container""&gt;
        &lt;h3&gt;Calculate&lt;/h3&gt;
        &lt;input id=""x"" data-in="""" type=""text"" /&gt;
        x &lt;input id=""y"" data-in="""" type=""text"" /&gt;
        &lt;hr&gt;
        &lt;div id=""d""&gt;&lt;/div&gt;
    &lt;/div&gt;
&lt;/div&gt;</code></pre>
</div>
</div>
</p>
","101"
"65500852","Pointer allowing to store more than allocated size","<c>","<p>Size of an int is 4 bytes and I am allocating only 1 byte.</p>
<pre><code>#include &lt;stdio.h&gt;
#include &lt;stdlib.h&gt;

int main(int argc, char ** argv) {
    int *a = (int *) malloc(1);

    // But I am still able to store int.
    *a = 42;
    printf(&quot;%d\n&quot;, *a);

    // It also allowed me to store char in an int pointer.
    *a = 'H';
    printf(&quot;%c\n&quot;, *a);
}
</code></pre>
","101"
"65500923","Bootstrap carousel-slider not working on the webpage","<html><bootstrap-5>","<p>Hi there I reacently started using bootstrap so I new at this. I was having a great experience becouse it is mach easier to structure and adapta a website as i want using there libraries than making it from scrach by my own. Right now I am trying to adapt a carousel slider to a website but I keep failing. The carousel never appears. I have tried coping the bootstrap scripts and links to the html file again but it doesn't work.</p>
<p>Code below-----</p>
<pre><code>&lt;html lang=&quot;en&quot;&gt;

&lt;head&gt;
  &lt;title&gt;Martín Opertti&lt;/title&gt;
  &lt;meta charset=&quot;utf-8&quot;&gt;
  &lt;meta name=&quot;viewport&quot; content=&quot;width=device-width, initial-scale=1&quot;&gt;
  &lt;link rel=&quot;stylesheet&quot; type=&quot;text/css&quot; href=&quot;bootstrap.min.css&quot;&gt;
  &lt;link rel=&quot;stylesheet&quot; href=&quot;https://maxcdn.bootstrapcdn.com/bootstrap/3.4.1/css/bootstrap.min.css&quot;&gt;
  
  &lt;script src=&quot;https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js&quot;&gt;&lt;/script&gt;
  &lt;script src=&quot;https://maxcdn.bootstrapcdn.com/bootstrap/3.4.1/js/bootstrap.min.js&quot;&gt;&lt;/script&gt;
  &lt;link rel=&quot;stylesheet&quot; type=&quot;text/css&quot; href=&quot;style.css&quot;&gt;
&lt;/head&gt;

&lt;body&gt;

  &lt;div id=&quot;home&quot;&gt;
    &lt;nav class=&quot;navbar navbar-expand-md navbar-dark bg-dark navbar-fixed-top&quot;&gt;

      &lt;div class=&quot;container-fluid&quot;&gt;

        &lt;button class=&quot;navbar-toggler&quot; type=&quot;button&quot; data-bs-toggle=&quot;collapse&quot; data-bs-target=&quot;#navbarTogglerDemo02&quot;
          aria-controls=&quot;navbarTogglerDemo02&quot; aria-expanded=&quot;false&quot; aria-label=&quot;Toggle navigation&quot;&gt;
          &lt;span class=&quot;navbar-toggler-icon&quot;&gt;&lt;/span&gt;
        &lt;/button&gt;
        &lt;div class=&quot;collapse navbar-collapse&quot; id=&quot;navbarTogglerDemo02&quot;&gt;
          &lt;ul class=&quot;navbar-nav me-auto&quot;&gt;
            &lt;li class=&quot;nav-item&quot;&gt;
              &lt;a class=&quot;nav-link active&quot; aria-current=&quot;page&quot; href=&quot;#&quot;&gt;Home&lt;/a&gt;
            &lt;/li&gt;
            &lt;li class=&quot;nav-item&quot;&gt;
              &lt;a class=&quot;nav-link&quot; href=&quot;#&quot;&gt;About&lt;/a&gt;
            &lt;/li&gt;
            &lt;li class=&quot;nav-item&quot;&gt;
              &lt;a class=&quot;nav-link&quot; href=&quot;#&quot;&gt;Research&lt;/a&gt;
            &lt;/li&gt;
            &lt;li class=&quot;nav-item&quot;&gt;
              &lt;a class=&quot;nav-link&quot; href=&quot;#&quot;&gt;Data viz&lt;/a&gt;
            &lt;/li&gt;
            &lt;li class=&quot;nav-item&quot;&gt;
              &lt;a class=&quot;nav-link&quot; href=&quot;#&quot;&gt;Contact&lt;/a&gt;
            &lt;/li&gt;
          &lt;/ul&gt;

        &lt;/div&gt;
      &lt;/div&gt;
    &lt;/nav&gt;

    &lt;div class=&quot;background&quot;&gt;
      &lt;img src=&quot;perfilajustado4.png&quot; class=&quot;img-fluid&quot;&gt;
    &lt;/div&gt;

    &lt;div class=&quot;heading-content text-left&quot;&gt;
      &lt;h1&gt;Martín &lt;br&gt;
        Opertti&lt;/h1&gt;
    &lt;/div&gt;
  &lt;/div&gt;

  &lt;div id=&quot;about&quot; class=&quot;container mt-3 pb-5 pt-5&quot;&gt;

    &lt;div class=&quot;post-heading text-center pb-5&quot;&gt;
      &lt;h1 class=&quot;display-4  font-weight-bold&quot;&gt;About me&lt;/h1&gt;
      &lt;hr class=&quot;w-50 mx-auto &quot;&gt;
    &lt;/div&gt;
    &lt;div class=&quot;row&quot;&gt;
      &lt;div class=&quot;col-lg-6 col-md-6 col-12 mt-0.5&quot;&gt;
        &lt;img src=&quot;imgilu3.png&quot; class=&quot;img-fluid&quot;&gt;
      &lt;/div&gt;

      &lt;div class=&quot;col-lg-6 col-md-6 col-12 mt-5 pt-5&quot;&gt;
        &lt;p&gt; Soy licenciado en sociología y trabajo como Asistente (G. 2) en la Unidad de Métodos y Acceso a Datos
          (FCS-UDELAR), y asistente en proyectos de investigación sobre opinión pública y comportamiento político en el
          Departamento de Ciencias Sociales de la Universidad Católica del Uruguay, donde también soy docente de grado.
          Mi
          trabajo aparece en publicaciones como la Revista Latinoamericana de Opinión Pública y soy coautor del libro
          &quot;Twittarquía, la política de las redes en Uruguay&quot;.&lt;/p&gt;

        &lt;h2&gt;Skills&lt;/h2&gt;
        &lt;hr&gt;
        &lt;ul&gt;
          &lt;li&gt;a&lt;/li&gt;
          &lt;li&gt;b&lt;/li&gt;
          &lt;li&gt;c&lt;/li&gt;
          &lt;li&gt;d&lt;/li&gt;
        &lt;/ul&gt;

        &lt;button class=&quot;btn w-50&quot;&gt;
          &lt;a href=&quot;#&quot;&gt;Know More&lt;/a&gt;

        &lt;/button&gt;
      &lt;/div&gt;

    &lt;/div&gt;
  &lt;/div&gt;
  &lt;div id=&quot;research&quot; class=&quot;container-fluid mt-3 pb-5 pt-5&quot;&gt;

    &lt;div class=&quot;post-heading text-center pb-5&quot;&gt;
      &lt;h1 class=&quot;display-4  font-weight-bold&quot;&gt;Research&lt;/h1&gt;
      &lt;hr class=&quot;w-50 mx-auto &quot;&gt;
    &lt;/div&gt;

    &lt;div id=&quot;myCarousel&quot; class=&quot;carousel slide&quot; data-ride=&quot;carousel&quot;&gt;
      &lt;ol class=&quot;carousel-indicators&quot;&gt;
        &lt;li data-target=&quot;#myCarousel&quot; data-slide-to=&quot;0&quot; class=&quot;active&quot;&gt;&lt;/li&gt;
        &lt;li data-target=&quot;#myCarousel&quot; data-slide-to=&quot;1&quot;&gt;&lt;/li&gt;
        
      &lt;/ol&gt;
      &lt;div class=&quot;carousel-inner&quot;&gt;

        &lt;div class=&quot;carousel-item active&quot;&gt;


          &lt;div class=&quot;container&quot;&gt;

            &lt;div class=&quot;row&quot;&gt;

              &lt;div class=&quot;col-lg-6 col-md-6 col-12 mt-3 pt-5&quot;&gt;
                &lt;h1&gt;Stoic partisans&lt;/h1&gt;
                &lt;p class=&quot;pt-3&quot;&gt; The power of the electorate to reward or to punish governments for their performance is
                  one of the
                  pillars of
                  conventional democratic theory, with economic perceptions as one of the most important issues for the
                  public
                  opinion. However, there is an ongoing debate over whether causality also flows the other way. This
                  article
                  aims
                  to test whether partisanship shapes economic perceptions while extending the argument to the context
                  of
                  a
                  developing economy. Furthermore, it analyses the impact of not only the direction of partisanship but
                  also
                  it´s
                  strength, an overlooked feature in the partisan bias literature. The analysis, which aggregates an
                  unusually
                  rich data set of Uruguayans´ economic evaluations for the 2001-2019 period, presents strong evidence
                  for
                  the
                  argument that both the direction and strength of partisanship produce great bias in economic judgments
                  even in
                  a
                  developing economy context where citizens are more vulnerable to economic shocks. These findings
                  suggest
                  a
                  rather unsettling scenario for electoral accountability in a significant part of the Uruguayan
                  electorate.
                &lt;/p&gt;
                &lt;a href=&quot;#&quot; class=&quot;btn btn-lg btn-primary mb-3&quot;&gt;Read More&lt;/a&gt;
              &lt;/div&gt;
              &lt;div class=&quot; grafic col-lg-6 col-md-6 col-12 mt-5 &quot;&gt;
                &lt;img src=&quot;ima6.png&quot; class=&quot;img-fluid &quot;&gt;
              &lt;/div&gt;
            &lt;/div&gt;
          &lt;/div&gt;
        &lt;/div&gt;

        &lt;div class=&quot;carousel-item&quot;&gt;


          &lt;div class=&quot;container&quot;&gt;

            &lt;div class=&quot;row&quot;&gt;

              &lt;div class=&quot;col-lg-6 col-md-6 col-12 mt-3 pt-5&quot;&gt;
                &lt;h1&gt;Stoic partisans&lt;/h1&gt;
                &lt;p class=&quot;pt-3&quot;&gt; The power of the electorate to reward or to punish governments for their performance is
                  one of the
                  pillars of
                  conventional democratic theory, with economic perceptions as one of the most important issues for the
                  public
                  opinion. However, there is an ongoing debate over whether causality also flows the other way. This
                  article
                  aims
                  to test whether partisanship shapes economic perceptions while extending the argument to the context
                  of
                  a
                  developing economy. Furthermore, it analyses the impact of not only the direction of partisanship but
                  also
                  it´s
                  strength, an overlooked feature in the partisan bias literature. The analysis, which aggregates an
                  unusually
                  rich data set of Uruguayans´ economic evaluations for the 2001-2019 period, presents strong evidence
                  for
                  the
                  argument that both the direction and strength of partisanship produce great bias in economic judgments
                  even in
                  a
                  developing economy context where citizens are more vulnerable to economic shocks. These findings
                  suggest
                  a
                  rather unsettling scenario for electoral accountability in a significant part of the Uruguayan
                  electorate.
                &lt;/p&gt;
                &lt;a href=&quot;#&quot; class=&quot;btn btn-lg btn-primary mb-3&quot;&gt;Read More&lt;/a&gt;
              &lt;/div&gt;
              &lt;div class=&quot; grafic col-lg-6 col-md-6 col-12 mt-5 &quot;&gt;
                &lt;img src=&quot;ima6.png&quot; class=&quot;img-fluid &quot;&gt;
              &lt;/div&gt;
            &lt;/div&gt;
          &lt;/div&gt;
        &lt;/div&gt;

      &lt;/div&gt;
    &lt;/div&gt;

  &lt;/div&gt;

  &lt;div id=&quot;dataviz&quot; class=&quot;container mt-3 pb-5 pt-5&quot;&gt;
    &lt;div class=&quot;post-heading text-center pb-5&quot;&gt;
      &lt;h1 class=&quot;display-4  font-weight-bold&quot;&gt;Data viz&lt;/h1&gt;
      &lt;hr class=&quot;w-50 mx-auto&quot;&gt;
    &lt;/div&gt;
    &lt;div class=&quot;row&quot;&gt;

      &lt;div class=&quot;col-lg-4 col-md-6 col-12 pb-5&quot;&gt;
        &lt;div class=&quot;card&quot;&gt;
          &lt;img src=&quot;ima6.png&quot; class=&quot;card-img-top&quot; alt=&quot;...&quot;&gt;
          &lt;div class=&quot;card-body&quot;&gt;
            &lt;h5 class=&quot;card-title&quot;&gt;Stoic partisans &lt;/h5&gt;
            &lt;p class=&quot;card-text&quot;&gt;The political conditioning of economic perceptions in Uruguay. Revista
              Latinoamericana
              de Opinión Pública, 9(1), 67-88.&lt;/p&gt;
            &lt;a href=&quot;#&quot; class=&quot;btn btn-primary&quot;&gt;Read More&lt;/a&gt;
          &lt;/div&gt;
        &lt;/div&gt;



      &lt;/div&gt;

      &lt;div class=&quot;col-lg-4 col-md-6 col-12 pb-5&quot;&gt;
        &lt;div class=&quot;card&quot;&gt;
          &lt;img src=&quot;ima6.png&quot; class=&quot;card-img-top&quot; alt=&quot;...&quot;&gt;
          &lt;div class=&quot;card-body&quot;&gt;
            &lt;h5 class=&quot;card-title&quot;&gt;Stoic partisans &lt;/h5&gt;
            &lt;p class=&quot;card-text&quot;&gt;The political conditioning of economic perceptions in Uruguay. Revista
              Latinoamericana
              de Opinión Pública, 9(1), 67-88.&lt;/p&gt;
            &lt;a href=&quot;#&quot; class=&quot;btn btn-primary&quot;&gt;Read More&lt;/a&gt;
          &lt;/div&gt;
        &lt;/div&gt;



      &lt;/div&gt;

      &lt;div class=&quot;col-lg-4 col-md-6 col-12 pb-5&quot;&gt;
        &lt;div class=&quot;card&quot;&gt;
          &lt;img src=&quot;ima6.png&quot; class=&quot;card-img-top&quot; alt=&quot;...&quot;&gt;
          &lt;div class=&quot;card-body&quot;&gt;
            &lt;h5 class=&quot;card-title&quot;&gt;Stoic partisans &lt;/h5&gt;
            &lt;p class=&quot;card-text&quot;&gt;The political conditioning of economic perceptions in Uruguay. Revista
              Latinoamericana
              de Opinión Pública, 9(1), 67-88.&lt;/p&gt;
            &lt;a href=&quot;#&quot; class=&quot;btn btn-primary&quot;&gt;Read More&lt;/a&gt;
          &lt;/div&gt;
        &lt;/div&gt;



      &lt;/div&gt;
    &lt;/div&gt;
  &lt;/div&gt;

  &lt;script src=&quot;https://cdn.jsdelivr.net/npm/@popperjs/core@2.5.4/dist/umd/popper.min.js&quot; integrity=&quot;sha384-q2kxQ16AaE6UbzuKqyBE9/u/KzioAlnx2maXQHiDX9d4/zp8Ok3f+M7DPm+Ib6IU&quot; crossorigin=&quot;anonymous&quot;&gt;&lt;/script&gt;
  &lt;script src=&quot;https://cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta1/dist/js/bootstrap.min.js&quot; integrity=&quot;sha384-pQQkAEnwaBkjpqZ8RU1fF1AKtTcHJwFl3pblpTlHXybJjHpMYo79HY3hIi4NKxyj&quot; crossorigin=&quot;anonymous&quot;&gt;&lt;/script&gt;







&lt;/body&gt;

&lt;/html&gt;```

----


Also I tried to errase some of the divs involved on the structure of the content inside the carousel but also I have no sucesess.
I colapsed the div that are not involved on the carousel. Hope someone could help me.
</code></pre>
","101"
"65500942","How to prevent CSS from leaving White lines at edge of page?","<html><css>","<p>I am attempting to make a simple colored banner using CSS at the top of a page.</p>
<p>What am I doing wrong that is causing the banner not to completely fill the page? Is their a line of code I can add that tells css to fill the page completely from left to right for a given section?</p>
<p>my css is:</p>
<pre><code>header{
    padding: 10px;
    text-align: center;
    background: darkblue;
    letter-spacing: 2px;
    font-size: 36px;
}
</code></pre>
<p>my HTML is:</p>
<pre><code> &lt;!DOCTYPE html&gt;
 &lt;html lang=&quot;en&quot;&gt;
 &lt;head&gt;
     &lt;meta charset=&quot;UTF-8&quot;&gt;
     &lt;meta name=&quot;viewport&quot; content=&quot;width=device-width, initial-scale=1.0&quot;&gt;
     &lt;link rel=&quot;stylesheet&quot; href=&quot;blog.css&quot;&gt;
 &lt;/head&gt;

&lt;Header&gt;
     &lt;H1 class=&quot;font-effect-fire&quot;&gt;My Site&lt;/H1&gt;
     &lt;p&gt; A Website for me, about me&lt;/p&gt;
</code></pre>
   
","101"
"65501066","Difference between methods: geom_hex and stat_bin_hex?","<r><ggplot2><data-visualization>","<p>Is there any difference between using geom_hex vs. stat_bin_hex? The official document did not give a good explanation, and for my test case apparently they generate the same-looking graphs. As I check the source code, however, there are a few differences (which I highlight with double asterisks). The fact that they are not identical is concerning me.</p>
<pre><code>geom_hex &lt;- function(mapping = NULL, data = NULL,
                     **stat = &quot;binhex&quot;**, position = &quot;identity&quot;,
                     ...,
                                   
                                         
                     na.rm = FALSE,
                     show.legend = NA,
                     inherit.aes = TRUE) {
  layer(
    data = data,
    mapping = mapping,
    **stat = stat,
    geom = GeomHex,**
    position = position,
    show.legend = show.legend,
    inherit.aes = inherit.aes,
    params = list(
                  
                          
      na.rm = na.rm,
      ...
    )
  )
}
</code></pre>
<pre><code>stat_bin_hex &lt;- function(mapping = NULL, data = NULL,
                         **geom = &quot;hex&quot;**, position = &quot;identity&quot;,
                         ...,
                         **bins = 30,
                         binwidth = NULL,**
                         na.rm = FALSE,
                         show.legend = NA,
                         inherit.aes = TRUE) {
  layer(
    data = data,
    mapping = mapping,
    **stat = StatBinhex,
    geom = geom,**
    position = position,
    show.legend = show.legend,
    inherit.aes = inherit.aes,
    params = list(
      **bins = bins,
      binwidth = binwidth,**
      na.rm = na.rm,
      ...
    )
  )
}
</code></pre>
<p><a href=""https://ggplot2.tidyverse.org/reference/geom_hex.html"" rel=""nofollow noreferrer"">https://ggplot2.tidyverse.org/reference/geom_hex.html</a></p>
","101"
